Network Diagram
Discovered Devices:
IP Address           MAC Address          Hostname            
10.16.135.221        D0:7E:35:AB:C1:5B    Intel Corporate     
10.16.135.222        D8:C0:A6:D2:C1:31    AzureWave Technology
10.16.135.223        50:C2:E8:32:57:61    Cloud Network Technology Singapore PTE.
10.16.135.224        E2:6D:D4:1B:B9:3B    Unknown             
10.16.135.227        9C:2F:9D:70:DB:3F    Liteon Technology   
10.16.135.228        A2:BA:2A:39:21:D6    Unknown             
10.16.135.229        F8:B5:4D:61:6C:82    Intel Corporate     
10.16.135.231        60:F6:77:90:66:F4    Intel Corporate     
10.16.135.233        DE:C4:88:8C:6C:14    Unknown             
10.16.135.235        42:67:1F:A1:C8:D4    Unknown             
10.16.135.236        9A:E9:59:6C:A8:31    Unknown             
10.16.135.237        D6:13:DB:79:76:D1    Unknown             
10.16.135.239        44:03:2C:18:F3:62    Intel Corporate     
10.16.135.241        94:63:72:E1:48:E5    vivo Mobile Communication
10.16.135.242        9C:3E:53:85:28:0F    Apple               
10.16.135.244        70:D8:23:2B:5D:63    Intel Corporate     
10.16.135.246        10:68:38:3F:7F:37    AzureWave Technology
10.16.135.247        30:F6:EF:E5:D9:6D    Intel Corporate     
10.16.135.248        26:7E:6B:66:41:9D    Unknown             
10.16.135.250        76:F5:B0:25:B6:41    Unknown             
10.16.135.252        C6:CB:10:47:52:F4    Unknown             
10.16.135.255        18:1D:EA:98:E1:F8    Intel Corporate     
10.16.136.2          BE:89:E0:9F:DD:20    Unknown             
10.16.136.3          CC:08:FA:8C:94:B8    Apple               
10.16.136.5          90:0F:0C:A7:F0:B1    Cloud Network Technology Singapore PTE.
10.16.136.6          14:13:33:01:A0:47    AzureWave Technology
10.16.136.7          16:E3:69:66:54:ED    Unknown             
10.16.136.8          FE:71:C4:04:7C:51    Unknown             
10.16.136.10         88:E9:FE:56:F0:7F    Apple               
10.16.136.11         C8:94:02:7C:0C:79    Chongqing Fugui Electronics
10.16.136.12         90:E8:68:81:09:A7    AzureWave Technology
10.16.136.13         F8:63:3F:67:49:D6    Intel Corporate     
10.16.136.16         D4:54:8B:4D:BD:81    Intel Corporate     
10.16.136.17         2C:6D:C1:0E:E5:7A    Intel Corporate     
10.16.136.18         E8:FB:1C:4D:A0:B9    AzureWave Technology
10.16.136.19         D8:80:83:81:47:6F    Cloud Network Technology Singapore PTE.
10.16.136.20         DC:46:28:2C:59:B6    Intel Corporate     
10.16.136.22         1E:CA:26:7A:3C:CA    Unknown             
10.16.136.24         30:F6:EF:27:03:3A    Intel Corporate     
10.16.136.25         50:28:4A:64:3E:5D    Intel Corporate     
10.16.136.27         4A:12:BE:4B:3B:8F    Unknown             
10.16.136.28         10:6F:D9:C3:64:D3    Cloud Network Technology Singapore PTE.
10.16.136.30         50:C2:E8:94:8B:29    Cloud Network Technology Singapore PTE.
10.16.136.33         1C:B9:AF:13:14:0E    Unknown             
10.16.136.36         F8:5E:0B:A7:3F:C9    Realme Chongqing Mobile Telecommunications
10.16.136.37         80:D2:1D:EF:C6:49    AzureWave Technology
10.16.136.39         DC:46:28:2C:6A:41    Intel Corporate     
10.16.136.40         14:49:D4:7B:DD:BE    Xiaomi Communications
10.16.136.41         14:5A:FC:77:22:59    Liteon Technology   
10.16.136.42         E2:B1:97:0E:FF:4D    Unknown             
10.16.136.43         00:24:D7:6D:7A:74    Intel Corporate     
10.16.136.44         14:13:33:09:B2:65    AzureWave Technology
10.16.136.46         16:C3:31:E5:1F:9F    Unknown             
10.16.136.47         70:D8:23:93:96:0D    Intel Corporate     
10.16.136.49         22:DB:42:C0:11:39    Unknown             
10.16.136.51         F0:B6:1E:3C:BE:78    Intel Corporate     
10.16.136.53         84:76:37:3B:16:87    Huawei Technologies 
10.16.136.55         A8:64:F1:EA:D6:98    Intel Corporate     
10.16.136.58         A6:8E:F0:22:D6:D3    Unknown             
10.16.136.60         70:3E:AC:AB:37:46    Apple               
10.16.136.62         70:D8:23:A4:85:4E    Intel Corporate     
10.16.136.64         9A:54:C8:1D:56:8E    Unknown             
10.16.136.66         D0:88:0C:7B:DD:27    Apple               
10.16.136.67         C2:39:CA:7C:F5:A0    Unknown             
10.16.136.69         C0:E4:34:B7:F6:39    AzureWave Technology
10.16.136.70         28:39:26:4F:B2:5F    CyberTAN Technology 
10.16.136.71         DA:BA:3B:33:D2:2C    Unknown             
10.16.136.72         FE:D1:D6:F3:23:CC    Unknown             
10.16.136.74         00:41:0E:93:AD:D1    Cloud Network Technology Singapore PTE.
10.16.136.75         D4:E9:8A:31:F2:3B    Intel Corporate     
10.16.136.76         20:0B:74:37:DB:53    AzureWave Technology
10.16.136.78         A8:41:F4:80:9E:6F    AzureWave Technology
10.16.136.79         4A:20:63:12:9F:7E    Unknown             
10.16.136.80         28:DF:EB:A9:C5:04    Intel Corporate     
10.16.136.81         BC:54:2F:A1:06:D0    Intel Corporate     
10.16.136.82         1A:58:AC:1E:D7:55    Unknown             
10.16.136.84         5C:BA:EF:E0:C3:8F    Chongqing Fugui Electronics
10.16.136.85         8C:C6:81:5F:71:BB    Intel Corporate     
10.16.136.86         4E:8F:D6:59:5C:AF    Unknown             
10.16.136.88         DC:71:96:67:E3:7D    Intel Corporate     
10.16.136.89         A4:D1:8C:5F:E5:82    Apple               
10.16.136.90         F8:54:F6:95:B5:70    AzureWave Technology
10.16.136.91         4C:EB:BD:AF:D2:29    Chongqing Fugui Electronics
10.16.136.92         40:1A:58:06:F0:55    Wistron Neweb       
10.16.136.93         AA:44:5F:4E:BB:02    Unknown             
10.16.136.97         60:45:2E:77:78:0B    Intel Corporate     
10.16.136.98         D4:6A:6A:47:26:EF    Hon Hai Precision Ind.
10.16.136.99         9E:CD:69:F3:2A:75    Unknown             
10.16.136.100        92:76:D9:E5:D0:42    Unknown             
10.16.136.101        28:11:A8:2E:71:38    Intel Corporate     
10.16.136.102        C8:CB:9E:25:64:26    Intel Corporate     
10.16.136.103        2C:6D:C1:EB:97:7C    Intel Corporate     
10.16.136.104        18:4F:32:FB:D8:C7    Hon Hai Precision Ind.
10.16.136.105        94:08:53:72:7F:B1    Liteon Technology   
10.16.136.106        C6:F4:30:39:1D:5F    Unknown             
10.16.136.107        1E:25:47:42:AE:49    Unknown             
10.16.136.108        90:0F:0C:A8:53:9F    Cloud Network Technology Singapore PTE.
10.16.136.110        D8:9C:67:24:E8:27    Hon Hai Precision Ind.
10.16.136.112        FC:77:74:8E:C5:EC    Intel Corporate     
10.16.136.113        F4:6A:DD:57:2A:1B    Liteon Technology   
10.16.136.114        52:10:F7:A5:7B:71    Unknown             
10.16.136.115        4C:77:CB:48:24:02    Intel Corporate     
10.16.136.119        D4:25:8B:9F:7C:2F    Intel Corporate     
10.16.136.122        AA:5D:9D:EA:EB:DD    Unknown             
10.16.136.123        20:C1:9B:23:70:35    Intel Corporate     
10.16.136.124        34:2E:B7:CA:63:09    Intel Corporate     
10.16.136.125        D8:C0:A6:D3:4B:49    AzureWave Technology
10.16.136.126        C6:9B:A8:2C:65:16    Unknown             
10.16.136.127        E8:F4:08:F0:12:CA    Intel Corporate     
10.16.136.128        70:A6:CC:40:00:F1    Intel Corporate     
10.16.136.129        50:EB:71:52:29:39    Intel Corporate     
10.16.136.130        18:47:3D:09:6C:89    Chongqing Fugui Electronics
10.16.136.131        C0:CE:CD:ED:39:E3    Apple               
10.16.136.133        6E:A9:8C:80:3A:AE    Unknown             
10.16.136.134        F2:9F:F2:93:A3:C8    Unknown             
10.16.136.135        14:13:33:F3:39:BF    AzureWave Technology
10.16.136.139        28:11:A8:D3:ED:AC    Intel Corporate     
10.16.136.140        94:BB:43:AD:3E:95    AzureWave Technology
10.16.136.142        F8:FE:5E:C5:E3:88    Intel Corporate     
10.16.136.143        90:32:4B:3C:66:C5    Hon Hai Precision Ind.
10.16.136.144        34:6F:24:EB:54:49    AzureWave Technology
10.16.136.145        4C:BB:58:29:14:83    Chicony Electronics 
10.16.136.147        30:F6:EF:8C:11:C1    Intel Corporate     
10.16.136.148        F8:FE:5E:9E:28:ED    Intel Corporate     
10.16.136.151        8C:C8:4B:DE:90:D3    Chongqing Fugui Electronics
